ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,market
009114.OF,鹏扬景泓回报A,鹏扬基金,招商银行,混合型,20200907,,,20200715,,7.2379,1.5,0.25,,1,0.001,,沪深300指数收益率*50%+中债综合财富(总值)指数收益率*40%+恒生指数收益率*10%,L,灵活配置型,契约型开放式,O
010150.OF,南方君信C,南方基金,中信银行,混合型,20200907,,,,,,1.5,0.25,,1,,,沪深300指数收益率*50%+上证国债指数收益率*30%+中证港股通综合指数(人民币)收益率*20%,L,灵活配置型,契约型开放式,O
010051.OF,长城工资宝C,长城基金,中信银行,货币市场型,20200907,,,,,,0.25,0.08,,1,,,银行活期存款利率(税后),L,货币型,契约型开放式,O
010172.OF,中银新回报C,中银基金,招商银行,混合型,20200907,,,,,,1.2,0.2,,1,,,沪深300指数收益率*50%+中债综合指数收益率*45%+银行活期存款利率(税后)*5%,L,灵活配置型,契约型开放式,O
160529.OF,博时创业板两年定开,博时基金,中国银行,混合型,20200903,,,20200817,,5.9216,1.5,0.25,,1,0.001,,创业板综合指数收益率*60%+中债综合财富(总值)指数收益率*30%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,O
009766.OF,安信平稳双利3个月持有A,安信基金,中国银行,混合型,20200903,,,20200731,,5.9476,0.8,0.2,,1,0.0001,,中债综合指数收益率*75%+沪深300指数收益率*15%+恒生指数收益率*10%,L,混合型,契约型开放式,O
009767.OF,安信平稳双利3个月持有C,安信基金,中国银行,混合型,20200903,,,20200731,,1.7891,0.8,0.2,,1,0.0001,,中债综合指数收益率*75%+沪深300指数收益率*15%+恒生指数收益率*10%,L,混合型,契约型开放式,O
009900.OF,易方达磐固六个月持有A,易方达基金,中国工商银行,混合型,20200903,,,20200828,,66.4604,0.8,0.2,,1,0.0001,,中债新综合指(财富)收益率*90%+沪深300指数收益率*10%,L,混合型,契约型开放式,O
009796.OF,大成汇享一年持有A,大成基金,中国工商银行,混合型,20200903,,,20200819,,4.5505,1,0.25,,1,0.0001,,中证综合债券指数收益率*80%+沪深300指数收益率*10%+恒生指数收益率*5%+金融机构人民币活期存款利率(税后)*5%,L,混合型,契约型开放式,O
009797.OF,大成汇享一年持有C,大成基金,中国工商银行,混合型,20200903,,,20200819,,0.1568,1,0.25,,1,0.0001,,中证综合债券指数收益率*80%+沪深300指数收益率*10%+恒生指数收益率*5%+金融机构人民币活期存款利率(税后)*5%,L,混合型,契约型开放式,O
009901.OF,易方达磐固六个月持有C,易方达基金,中国工商银行,混合型,20200903,,,20200828,,12.3083,0.8,0.2,,1,0.0001,,中债新综合指(财富)收益率*90%+沪深300指数收益率*10%,L,混合型,契约型开放式,O
009415.OF,中邮瑞享两年定开A,中邮基金,中国邮政储蓄银行,混合型,20200903,,,20200727,,2.1734,0.8,0.2,,1,0.01,,中债总指数(全价)收益率*70%+沪深300指数收益率*30%,L,混合型,契约型开放式,O
009416.OF,中邮瑞享两年定开C,中邮基金,中国邮政储蓄银行,混合型,20200903,,,20200727,,0.1187,0.8,0.2,,1,0.01,,中债总指数(全价)收益率*70%+沪深300指数收益率*30%,L,混合型,契约型开放式,O
160425.OF,华安创业板两年定开,华安基金,中国银行,混合型,20200903,,,20200817,,3.6023,1.5,0.25,,1,0.0001,,创业板综合指数收益率*75%+中债综合全价指数收益率*20%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,O
009765.OF,惠升和煦88个月定开,惠升基金,兴业银行,债券型,20200902,,,20200731,,50,0.15,0.05,,1,0.0001,,该封闭期起始日的中国人民银行公布并执行的三年期银行定期存款利率(税后)+1%,L,债券型,契约型开放式,O
009340.OF,工银养老2055五年,工银瑞信基金,中信银行,混合型,20200902,,,20200803,,0.1089,0.9,0.2,,1,0.0001,,中证800指数收益率*70%+中债新综合(财富)指数收益率*30%,L,混合型,契约型开放式,O
008648.OF,嘉实致业一年定开,嘉实基金,兴业银行,债券型,20200902,,,20200601,,2.1,0.3,0.1,,1,,,中债总全价指数收益率,L,债券型,契约型开放式,O
010093.OF,西部利得港股通新机遇C,西部利得基金,招商银行,混合型,20200902,,,,,,1.5,0.2,,1,,,恒生综合指数收益率*60%+中债综合全价(总值)指数收益率*30%+沪深300指数收益率*10%,L,灵活配置型,契约型开放式,O
009938.OF,东方欣益一年持有期C,东方基金,中国邮政储蓄银行,混合型,20200902,,,20200803,,1.7572,1,0.2,,1,0.0001,,中债综合全价指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,O
009774.OF,财通资管优选回报一年持有,财通证券资管,兴业银行,混合型,20200902,,,20200729,,18.3105,1.5,0.25,,1,0.001,,中证800指数收益率*70%+中债综合全价指数收益率*30%,L,混合型,契约型开放式,O
009937.OF,东方欣益一年持有期A,东方基金,中国邮政储蓄银行,混合型,20200902,,,20200803,,14.5554,1,0.2,,1,0.0001,,中债综合全价指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,O
005301.OF,前海开源弘泽A,前海开源基金,浦发银行/上海浦东发展银行,债券型,20200901,,,20200901,,,0.6,0.1,,1,,,中证全债指数收益率*80%+沪深300指数收益率*10%+恒生高股息率指数收益率*10%,L,债券型,契约型开放式,O
009538.OF,太平行业优选C,太平基金,兴业银行,股票型,20200901,,,20200810,,0.9437,1.5,0.25,,1,0.0001,,沪深300指数收益率*80%+上证国债指数收益率*20%,L,股票型,契约型开放式,O
009537.OF,太平行业优选A,太平基金,兴业银行,股票型,20200901,,,20200810,,1.5048,1.5,0.25,,1,0.0001,,沪深300指数收益率*80%+上证国债指数收益率*20%,L,股票型,契约型开放式,O
160143.OF,南方创业板2年定开,南方基金,中国农业银行,混合型,20200901,,,20200814,,7.6276,1.5,0.25,,1,0.0001,,创业板指数收益率*60%+中债总指数收益率*30%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,O
009799.OF,中银证券安汇三年定开,中银证券,浙商银行,债券型,20200901,,,20200727,,79.9009,0.15,0.05,,1,0.001,,该封闭期起始日的中国人民银行公布并执行的金融机构人民币三年期定期存款利率(税后)+1.00%,L,债券型,契约型开放式,O
009495.OF,大成景轩中高等级A,大成基金,平安银行,债券型,20200901,,,20200529,,0.6118,0.3,0.1,,1,0.0001,,中债高信用等级债券财富指数收益率,L,债券型,契约型开放式,O
009371.OF,浦银安盛睿和优选3个月持有C,浦银安盛基金,中国建设银行,混合型,20200901,,,20200803,,1.7265,1,0.15,,1,,,中证股票型基金指数收益率*75%+中证债券型基金指数收益率*20%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,O
009370.OF,浦银安盛睿和优选3个月持有A,浦银安盛基金,中国建设银行,混合型,20200901,,,20200803,,1.6353,1,0.15,,1,,,中证股票型基金指数收益率*75%+中证债券型基金指数收益率*20%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,O
005302.OF,前海开源弘泽C,前海开源基金,浦发银行/上海浦东发展银行,债券型,20200901,,,20200901,,,0.6,0.1,,1,,,中证全债指数收益率*80%+沪深300指数收益率*10%+恒生高股息率指数收益率*10%,L,债券型,契约型开放式,O
009640.OF,中银证券优选行业龙头A,中银证券,招商银行,混合型,20200901,,,20200721,,5.7514,1.5,0.2,,1,0.001,,沪深300指数收益率*80%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,O
010016.OF,华夏科技前沿6个月定开A,华夏基金,中国工商银行,混合型,20200901,,,20200824,,23.176,1.5,0.25,,1,0.0001,,中证500指数收益率*65%+中债综合指数收益率*20%+中证港股通综合指数收益率*15%,L,混合型,契约型开放式,O
010017.OF,华夏科技前沿6个月定开C,华夏基金,中国工商银行,混合型,20200901,,,20200824,,6.9705,1.5,0.25,,1,0.0001,,中证500指数收益率*65%+中债综合指数收益率*20%+中证港股通综合指数收益率*15%,L,混合型,契约型开放式,O
009496.OF,大成景轩中高等级C,大成基金,平安银行,债券型,20200901,,,20200529,,2.1382,0.3,0.1,,1,0.0001,,中债高信用等级债券财富指数收益率,L,债券型,契约型开放式,O
009641.OF,中银证券优选行业龙头C,中银证券,招商银行,混合型,20200901,,,20200721,,0.7085,1.5,0.2,,1,0.001,,沪深300指数收益率*80%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,O
009579.OF,东方红鑫安39个月定开,东证资管,交通银行,债券型,20200831,,,20200727,,56.3015,0.15,0.05,,1,0.001,,同期中国人民银行公布的三年期银行定期存款利率(税后)+1%,L,债券型,契约型开放式,O
008686.OF,大成景优A,大成基金,兴业银行,债券型,20200831,,,20200529,,4.5,0.3,0.1,,1,0.0001,,中债总财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,O
008687.OF,大成景优C,大成基金,兴业银行,债券型,20200831,,,20200529,,0.5002,0.3,0.1,,1,0.0001,,中债总财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,O
008060.OF,景顺长城价值边际,景顺长城基金,招商银行,混合型,20200831,,,20200730,,14.3631,1.5,0.25,,1,0.0001,,沪深300指数收益率*60%+中债综合指数收益率*40%,L,灵活配置型,契约型开放式,O
009605.OF,安信永顺一年定开债,安信基金,中国民生银行,债券型,20200828,,,20200603,,0.1,0.3,0.1,,1,,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,O
009807.OF,东方红招盈甄选一年持有C,东证资管,招商银行,混合型,20200828,,,20200727,,1.0422,0.6,0.15,,1,0.001,,中债综合指数收益率*90%+沪深300指数收益率*8%+恒生指数收益率*2%,L,混合型,契约型开放式,O
009930.OF,南方创新驱动C,南方基金,中国建设银行,混合型,20200828,,,20200824,,16.9089,1.5,0.25,,1,0.0001,,沪深300指数收益率*50%+中债综合指数收益率*30%+中证港股通综合指数(人民币)收益率*20%,L,混合型,契约型开放式,O
008602.OF,方正富邦新兴成长A,方正富邦基金,兴业银行,混合型,20200828,,,20200525,,1.6753,1.5,0.25,,1,0.0001,,中证新兴产业指数收益率*60%+中证全债指数收益率*30%+恒生指数收益率*10%,L,混合型,契约型开放式,O
009806.OF,东方红招盈甄选一年持有A,东证资管,招商银行,混合型,20200828,,,20200727,,3.9111,0.6,0.15,,1,0.001,,中债综合指数收益率*90%+沪深300指数收益率*8%+恒生指数收益率*2%,L,混合型,契约型开放式,O
009929.OF,南方创新驱动A,南方基金,中国建设银行,混合型,20200828,,,20200824,,126.9996,1.5,0.25,,1,0.0001,,沪深300指数收益率*50%+中债综合指数收益率*30%+中证港股通综合指数(人民币)收益率*20%,L,混合型,契约型开放式,O
009990.OF,华泰柏瑞品质优选A,华泰柏瑞基金,中国建设银行,混合型,20200828,,,20200811,,46.2807,1.5,0.25,,1,0.0001,,中证800指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+上证国债指数收益率*20%,L,混合型,契约型开放式,O
009523.OF,宝盈聚福39个月定开A,宝盈基金,中国邮政储蓄银行,债券型,20200828,,,20200727,,57.8005,0.15,0.05,,1,0.0001,,该封闭期起始日公布的3年期定期存款利率(税后)+1.5%,L,债券型,契约型开放式,O
009991.OF,华泰柏瑞品质优选C,华泰柏瑞基金,中国建设银行,混合型,20200828,,,20200811,,9.3365,1.5,0.25,,1,0.0001,,中证800指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+上证国债指数收益率*20%,L,混合型,契约型开放式,O
009524.OF,宝盈聚福39个月定开C,宝盈基金,中国邮政储蓄银行,债券型,20200828,,,20200727,,0.0002,0.15,0.05,,1,0.0001,,该封闭期起始日公布的3年期定期存款利率(税后)+1.5%,L,债券型,契约型开放式,O
009986.OF,天弘创新领航A,天弘基金,宁波银行,混合型,20200828,,,20200810,,12.4012,1.5,0.25,,1,0.001,,中证800指数收益率*70%+中证综合债指数收益率*30%,L,混合型,契约型开放式,O
009987.OF,天弘创新领航C,天弘基金,宁波银行,混合型,20200828,,,20200810,,1.2563,1.5,0.25,,1,0.001,,中证800指数收益率*70%+中证综合债指数收益率*30%,L,混合型,契约型开放式,O
008603.OF,方正富邦新兴成长C,方正富邦基金,兴业银行,混合型,20200828,,,20200525,,0.6867,1.5,0.25,,1,0.0001,,中证新兴产业指数收益率*60%+中证全债指数收益率*30%+恒生指数收益率*10%,L,混合型,契约型开放式,O
009556.OF,兴全合丰三年持有,兴证全球基金,中国银行,混合型,20200828,,,20200825,,79.1655,1.5,0.25,,1,0.001,,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合(全价)指数收益率*20%,L,混合型,契约型开放式,O
009898.OF,民生加银医药健康,民生加银基金,中信证券,股票型,20200828,,,20200805,,8.1466,1.5,0.2,,1,0.001,,中证医药卫生指数收益率*70%+中债综合财富指数收益率*20%+恒生医疗保健指数收益率(经汇率调整)*10%,L,股票型,契约型开放式,O
010018.OF,招商瑞泽一年持有A,招商基金,中国工商银行,混合型,20200827,,,20200811,,51.6403,1,0.15,,1,0.0001,,中证全债指数收益率*85%+沪深300指数收益率*10%+恒生综合指数收益率(经汇率调整后)*5%,L,混合型,契约型开放式,O
009753.OF,中欧美益稳健两年A,中欧基金,中国邮政储蓄银行,混合型,20200827,,,20200629,,2.1853,0.5,0.15,,1,0.0001,,中债综合财富(总值)指数收益率*90%+中证800指数收益率*8%+中证港股通综合指数(人民币)收益率*2%,L,混合型,契约型开放式,O
009754.OF,中欧美益稳健两年C,中欧基金,中国邮政储蓄银行,混合型,20200827,,,20200629,,0.2057,0.5,0.15,,1,0.0001,,中债综合财富(总值)指数收益率*90%+中证800指数收益率*8%+中证港股通综合指数(人民币)收益率*2%,L,混合型,契约型开放式,O
009733.OF,创金合信港股通大消费精选A,创金合信基金,兴业银行,股票型,20200827,,,20200821,,0.0559,1.5,0.2,,1,0.001,,中证港股通大消费主题指数收益率(使用估值汇率折算)*90%+中债综合(全价)指数收益率*10%,L,股票型,契约型开放式,O
005347.OF,诺德量化优选,诺德基金,中国光大银行,混合型,20200827,,,20200810,,18.1234,1.5,0.25,,1,0.0001,,沪深300指数收益率*80%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,O
009734.OF,创金合信港股通大消费精选C,创金合信基金,兴业银行,股票型,20200827,,,20200821,,0.0545,1.5,0.2,,1,0.001,,中证港股通大消费主题指数收益率(使用估值汇率折算)*90%+中债综合(全价)指数收益率*10%,L,股票型,契约型开放式,O
009105.OF,兴业嘉荣一年定开,兴业基金,中国民生银行,债券型,20200827,,,20200605,,5,0.3,0.1,,1,,,中国债券综合全价指数收益率,L,债券型,契约型开放式,O
010010.OF,国投瑞银港股通6个月定开,国投瑞银基金,中国银行,股票型,20200827,,,20200824,,10.1005,1.35,0.15,,1,,,恒生指数收益率(使用估值汇率折算)*85%+银行活期存款利率(税后)*15%,L,股票型,契约型开放式,O
009847.OF,圆信永丰研究精选A,圆信永丰基金,中国工商银行,混合型,20200827,,,20200811,,12.8293,1.5,0.25,,1,0.0001,,沪深300指数收益率*70%+上证国债指数收益率*30%,L,混合型,契约型开放式,O
009593.OF,国泰中债1-3年国开债A,国泰基金,中国邮政储蓄银行,债券型,20200827,,,20200731,,78.9999,0.15,0.05,,1,0.0001,,中债-1-3年国开行债券指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,O
010005.OF,鹏扬现金通利E,鹏扬基金,中国建设银行,货币市场型,20200827,,,,,,0.3,0.09,,1,,,中国人民银行公布的七天通知存款利率(税后),L,货币型,契约型开放式,O
009848.OF,圆信永丰研究精选C,圆信永丰基金,中国工商银行,混合型,20200827,,,20200811,,0.347,1.5,0.25,,1,100,,沪深300指数收益率*70%+上证国债指数收益率*30%,L,混合型,契约型开放式,O
008930.OF,中加安瑞平衡养老目标三年,中加基金,中国工商银行,混合型,20200827,,,20200525,,0.1001,0.9,0.15,,1,0.001,,中证综合债指数收益率*50%+中证800指数收益率*50%,L,混合型,契约型开放式,O
009594.OF,国泰中债1-3年国开债C,国泰基金,中国邮政储蓄银行,债券型,20200827,,,20200731,,0,0.15,0.05,,1,0.0001,,中债-1-3年国开行债券指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,O
009710.OF,诺德新盛C,诺德基金,宁波银行,混合型,20200827,,,,,,0.6,0.1,,1,,,中证全债指数收益率*70%+沪深300指数收益率*30%,L,灵活配置型,契约型开放式,O
009805.OF,国泰医药健康,国泰基金,中国建设银行,股票型,20200827,,,20200817,,30.7835,1.5,0.25,,1,0.0001,,中证医药卫生指数收益率*70%+中债综合指数收益率*20%+中证港股通综合指数(人民币)收益率*10%,L,股票型,契约型开放式,O
010019.OF,招商瑞泽一年持有C,招商基金,中国工商银行,混合型,20200827,,,20200811,,20.3593,1,0.15,,1,0.0001,,中证全债指数收益率*85%+沪深300指数收益率*10%+恒生综合指数收益率(经汇率调整后)*5%,L,混合型,契约型开放式,O
008012.OF,前海联合淳丰87个月定开债A,新疆前海联合基金,浦发银行/上海浦东发展银行,债券型,20200826,,,20200817,,79.9001,0.15,0.05,,1,0.0001,,三年期定期存款利率(税后)+1.5%,L,债券型,契约型开放式,O
009801.OF,长盛制造精选C,长盛基金,中国农业银行,混合型,20200826,,,20200803,,1.8552,1.5,0.25,,1,0.0001,,申银万国制造业指数收益率*80%+中证综合债指数收益率*20%,L,混合型,契约型开放式,O
009967.OF,博时荣泰,博时基金,浙商银行,混合型,20200826,,,20200803,,5.796,1.5,0.3,,1,0.001,,沪深300指数收益率*70%+中债综合财富(总值)指数收益率*30%,L,灵活配置型,契约型开放式,O
009385.OF,天弘永裕平衡养老目标三年,天弘基金,兴业银行,混合型,20200826,,,20200720,,1.1348,0.7,0.15,,1,0.001,,沪深300指数收益率*50%+中债新综合财富(总值)指数收益率*50%,L,混合型,契约型开放式,O
009906.OF,诺德安瑞39个月定开,诺德基金,上海银行,债券型,20200826,,,20200727,,40.504,0.15,0.05,,1,0.0001,,该封闭期起始日的中国人民银行公布并执行的金融机构三年期定期存款利率(税后)*1.1,L,债券型,契约型开放式,O
009989.OF,华宝研究精选,华宝基金,中国建设银行,混合型,20200826,,,20200814,,51.3488,1.5,0.25,,1,0.0001,,中证800指数收益率*80%+中证综合债指数收益率*20%,L,混合型,契约型开放式,O
009476.OF,建信食品饮料行业,建信基金,上海银行,股票型,20200826,,,20200807,,6.8256,1.5,0.25,,1,0.001,,中证食品饮料指数收益率*75%+恒生必需性消费业指数收益率(按估值汇率调整)*15%+中债总指数收益率*10%,L,股票型,契约型开放式,O
009881.OF,广发中证医疗C,广发基金,北京银行,股票型,20200826,,,20200826,,,0.5,0.15,,1,,,中证医疗指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,O
009800.OF,长盛制造精选A,长盛基金,中国农业银行,混合型,20200826,,,20200803,,20.3804,1.5,0.25,,1,0.0001,,申银万国制造业指数收益率*80%+中证综合债指数收益率*20%,L,混合型,契约型开放式,O
008360.OF,鹏扬淳选一年定开,鹏扬基金,中国民生银行,债券型,20200826,,,20200817,,10,0.3,0.1,,1,,,中债综合财富(总值)指数收益率,L,债券型,契约型开放式,O
008013.OF,前海联合淳丰87个月定开债C,新疆前海联合基金,浦发银行/上海浦东发展银行,债券型,20200826,,,20200817,,0,0.15,0.05,,1,0.0001,,三年期定期存款利率(税后)+1.5%,L,债券型,契约型开放式,O
010020.OF,华夏线上经济主题精选,华夏基金,中国建设银行,混合型,20200826,,,20200820,,69.2914,1.5,0.25,,1,0.0001,,中证500指数收益率*60%+中证港股通综合指数收益率*20%+中债综合(全价)指数收益率*20%,L,混合型,契约型开放式,O
009921.OF,鹏华年年红一年持有期C,鹏华基金,交通银行,债券型,20200824,,,20200731,,0.113,0.35,0.1,,1,0.001,,中债综合全价(总值)指数收益率*80%+一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,O
009894.OF,前海开源惠盈39个月定开,前海开源基金,中国邮政储蓄银行,债券型,20200824,,,20200730,,52.8021,0.15,0.05,,1,0.001,,该封闭期起始日的中国人民银行公布并执行的金融机构三年期定期存款利率(税后)+1%,L,债券型,契约型开放式,O
009899.OF,上银内需增长,上银基金,交通银行,股票型,20200824,,,20200731,,2.9895,1.5,0.25,,1,0.001,,沪深300指数收益率*90%+中债综合指数收益率*10%,L,股票型,契约型开放式,O
009882.OF,华润元大核心动力A,华润元大基金,中泰证券,混合型,20200824,,,20200817,,1.4874,1.5,0.25,,1,0.001,,沪深300指数收益率*70%+中债国债总全价指数收益率*25%+恒生指数收益率*5%,L,混合型,契约型开放式,O
010013.OF,易方达信息行业精选,易方达基金,中国建设银行,股票型,20200824,,,20200810,,106.0276,1.5,0.25,,1,0.0001,,中证TMT150指数收益率*65%+中证港股通综合指数收益率*20%+中债总指数收益率*15%,L,股票型,契约型开放式,O
009883.OF,华润元大核心动力C,华润元大基金,中泰证券,混合型,20200824,,,20200817,,0.7137,1.5,0.25,,1,0.001,,沪深300指数收益率*70%+中债国债总全价指数收益率*25%+恒生指数收益率*5%,L,混合型,契约型开放式,O
009920.OF,鹏华年年红一年持有期A,鹏华基金,交通银行,债券型,20200824,,,20200731,,8.9682,0.35,0.1,,1,0.001,,中债综合全价(总值)指数收益率*80%+一年期定期存款利率(税后)*20%,L,债券型,契约型开放式,O
009784.OF,安信尊享添利A,安信基金,招商银行,债券型,20200824,,,20200709,,5.5615,0.3,0.1,,1,0.0001,,中债-1-30年利率债财富(3-5年)指数收益率,L,债券型,契约型开放式,O
008612.OF,国投瑞银顺恒纯债,国投瑞银基金,广州农商银行,债券型,20200824,,,20200521,,2.2004,0.3,0.1,,1,0.001,,中债综合指数收益率,L,债券型,契约型开放式,O
009209.OF,长信稳利资产配置一年,长信基金,中国工商银行,混合型,20200824,,,20200720,,6.7505,0.6,0.2,,1,0.0001,,中证债券型基金指数收益率*80%+中证股票型基金指数收益率*20%,L,混合型,契约型开放式,O
007432.OF,华泰保兴久盈63个月定开,华泰保兴基金,浦发银行/上海浦东发展银行,债券型,20200824,,,20200731,,45.0012,0.15,0.05,,1,10,,该封闭期起始日公布的三年定期存款利率(税后)+1.00%,L,债券型,契约型开放式,O
009552.OF,财通资管丰乾39个月定开A,财通证券资管,中信银行,债券型,20200824,,,20200731,,33.4002,0.15,0.05,,1,0.001,,该封闭期起始日公布的三年期定期存款利率(税后)+0.5%,L,债券型,契约型开放式,O
009785.OF,安信尊享添利C,安信基金,招商银行,债券型,20200824,,,20200709,,1.0018,0.3,0.1,,1,0.0001,,中债-1-30年利率债财富(3-5年)指数收益率,L,债券型,契约型开放式,O
008506.OF,浙商中短债C,浙商基金,中国工商银行,债券型,20200824,,,20200519,,2.613,0.3,0.1,,1,0.0001,,中债总财富(1-3年)指数收益率*80%+一年期定存利率(税后)*20%,L,债券型,契约型开放式,O
009553.OF,财通资管丰乾39个月定开C,财通证券资管,中信银行,债券型,20200824,,,20200731,,0,0.15,0.05,,1,0.001,,该封闭期起始日公布的三年期定期存款利率(税后)+0.5%,L,债券型,契约型开放式,O
009890.OF,华润元大润禧39个月定开C,华润元大基金,江苏银行,债券型,20200824,,,20200722,,0.0004,0.15,0.05,,1,0.001,,该封闭期起始日公布的三年期定期存款利率(税后)+1.5%,L,债券型,契约型开放式,O
008385.OF,银华汇益一年持有C,银华基金,浦发银行/上海浦东发展银行,混合型,20200824,,,20200817,,1.623,0.6,0.1,,1,0.001,,中债综合指数(全价)收益率*85%+沪深300指数收益率*10%+恒生指数收益率(使用估值汇率调整)*5%,L,混合型,契约型开放式,O
009889.OF,华润元大润禧39个月定开A,华润元大基金,江苏银行,债券型,20200824,,,20200722,,36.0007,0.15,0.05,,1,0.001,,该封闭期起始日公布的三年期定期存款利率(税后)+1.5%,L,债券型,契约型开放式,O
008505.OF,浙商中短债A,浙商基金,中国工商银行,债券型,20200824,,,20200519,,0.0013,0.3,0.1,,1,0.0001,,中债总财富(1-3年)指数收益率*80%+一年期定存利率(税后)*20%,L,债券型,契约型开放式,O
007691.OF,永赢泽利一年定开,永赢基金,徽商银行,债券型,20200824,,,20200622,,2.3001,0.3,0.1,,1,0.001,,中国债券综合全价指数收益率,L,债券型,契约型开放式,O
008384.OF,银华汇益一年持有A,银华基金,浦发银行/上海浦东发展银行,混合型,20200824,,,20200817,,27.246,0.6,0.1,,1,0.001,,中债综合指数(全价)收益率*85%+沪深300指数收益率*10%+恒生指数收益率(使用估值汇率调整)*5%,L,混合型,契约型开放式,O
009665.OF,汇添富医疗积极成长一年持有C,汇添富基金,中国工商银行,混合型,20200821,,,20200812,,5.9244,1.5,0.25,,1,0.001,,中证医疗指数收益率*70%+中债综合全价指数收益率*20%+恒生医疗保健指数收益率*10%,L,混合型,契约型开放式,O
008825.OF,民生加银瑞盈纯债一年定开,民生加银基金,中信银行,债券型,20200821,,,20200604,,2.1,0.3,0.1,,1,,,中国债券综合指数收益率,L,债券型,契约型开放式,O
008601.OF,大成景和C,大成基金,中国农业银行,债券型,20200821,,,20200519,,2.2176,0.7,0.2,,1,0.0001,,中债综合全价指数收益率,L,债券型,契约型开放式,O
168207.OF,中融创业板两年定开,中融基金,交通银行,混合型,20200821,,,20200723,,3.6222,1.5,0.25,,1,0.0001,,创业板创新指数收益率*70%+中债综合财富指数收益率*25%+恒生指数收益率*5%,L,混合型,契约型开放式,O
008900.OF,国联安增泰一年定开,国联安基金,浦发银行/上海浦东发展银行,债券型,20200821,,,20200521,,2.25,0.3,0.1,,1,,,中债综合指数收益率,L,债券型,契约型开放式,O
008564.OF,银河臻优稳健配置C,银河基金,浙商银行,混合型,20200821,,,20200518,,1.1642,0.6,0.1,,1,0.001,,中债综合全价指数收益率*75%+沪深300指数收益率*25%,L,混合型,契约型开放式,O
008600.OF,大成景和A,大成基金,中国农业银行,债券型,20200821,,,20200519,,0.4118,0.7,0.2,,1,0.0001,,中债综合全价指数收益率,L,债券型,契约型开放式,O
008581.OF,九泰久嘉纯债3个月定开C,九泰基金,浙商银行,债券型,20200821,,,20200519,,0.0272,0.3,0.1,,1,0.001,,中债总指数(总值)财富指数收益率,L,债券型,契约型开放式,O
008580.OF,九泰久嘉纯债3个月定开A,九泰基金,浙商银行,债券型,20200821,,,20200519,,1.9733,0.3,0.1,,1,0.001,,中债总指数(总值)财富指数收益率,L,债券型,契约型开放式,O
008563.OF,银河臻优稳健配置A,银河基金,浙商银行,混合型,20200821,,,20200518,,1.4279,0.6,0.1,,1,0.001,,中债综合全价指数收益率*75%+沪深300指数收益率*25%,L,混合型,契约型开放式,O
009664.OF,汇添富医疗积极成长一年持有A,汇添富基金,中国工商银行,混合型,20200821,,,20200812,,54.8344,1.5,0.25,,1,0.001,,中证医疗指数收益率*70%+中债综合全价指数收益率*20%+恒生医疗保健指数收益率*10%,L,混合型,契约型开放式,O
009041.OF,浦银安盛普天纯债A,浦银安盛基金,交通银行,债券型,20200820,,,20200518,,1.9523,0.3,0.1,,1,0.0001,,中证综合债指数收益率,L,债券型,契约型开放式,O
008543.OF,西部利得新瑞A,西部利得基金,中国工商银行,混合型,20200820,,,20200518,,0.023,0.9,0.1,,1,0.001,,中债综合全价指数收益率*70%+沪深300指数收益率*30%,L,混合型,契约型开放式,O
008785.OF,中加博裕纯债,中加基金,渤海银行,债券型,20200820,,,20200522,,9.95,0.3,0.1,,1,0.001,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,O
009776.OF,中欧阿尔法A,中欧基金,招商银行,混合型,20200820,,,20200817,,60.2155,1.5,0.25,,1,0.0001,,中证800指数收益率*70%+银行活期存款利率(税后)*20%+恒生指数收益率*10%,L,混合型,契约型开放式,O
009707.OF,工银新兴制造A,工银瑞信基金,交通银行,混合型,20200820,,,20200731,,2.4713,1.5,0.25,,1,0.0001,,申银万国制造业指数收益率*65%+中债综合财富(总值)指数收益率*30%+中证港股通综合指数收益率*5%,L,混合型,契约型开放式,O
